,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Yenagoa,20,NG,1548287216,94,4.92,6.26,76.31,5.61
375,Kotovo,92,RU,1548287217,83,50.32,44.8,5.57,11.88
376,Paamiut,0,GL,1548287218,100,61.99,-49.67,21.5,11.65
377,Moose Factory,90,CA,1548284400,92,51.26,-80.61,12.2,5.82
378,Antofagasta,20,CL,1548284400,72,-23.65,-70.4,68.0,11.41
379,Siljan,92,NO,1548285600,92,59.29,9.71,32.0,8.05
380,Dzerzhinskoye,0,RU,1548287223,79,56.84,95.22,4.22,2.48
381,Mokhsogollokh,68,RU,1548287224,68,61.4,128.95,-15.36,2.82
382,Nyurba,56,RU,1548287225,63,63.29,118.35,-21.48,6.62
383,Panaba,36,MX,1548287226,70,21.28,-88.27,79.01,9.64
384,Haines Junction,8,CA,1548287228,83,60.75,-137.51,3.09,2.37
385,Pineville,90,US,1548285300,78,31.32,-92.43,37.22,10.29
386,Sri Aman,88,MY,1548284400,100,1.24,111.46,73.4,2.82
387,Pedasi,24,PA,1548287231,87,7.53,-80.03,80.04,13.44
388,Axim,20,GH,1548287232,99,4.87,-2.24,82.88,11.1
389,Kahului,20,US,1548284160,53,20.89,-156.47,86.0,14.99
390,Jumla,0,NP,1548287235,78,29.28,82.18,2.15,1.92
391,Tarakan,40,ID,1548284400,88,3.3,117.63,78.8,3.36
392,Sun City West,1,US,1548285300,19,33.66,-112.34,60.8,3.04
393,Pangnirtung,20,CA,1548284400,74,66.15,-65.72,-25.61,2.24
394,Puro,80,PH,1548287239,100,13.13,123.76,74.96,6.96
395,Honjo,75,JP,1548284400,63,39.38,140.05,33.8,17.22
396,Son La,44,VN,1548287241,98,21.32,103.9,49.4,1.92
397,Atyrau,20,KZ,1548286200,91,47.1,51.92,1.4,6.71
398,Wanning,75,AT,1548285600,85,48.64,13.53,24.8,3.36
399,Marsh Harbour,0,BS,1548287245,100,26.54,-77.06,75.32,22.73
400,Tabou,12,CI,1548287246,99,4.42,-7.36,83.51,10.87
401,Porto Novo,20,BR,1548284400,65,-23.68,-45.44,77.0,5.82
402,Abha,0,SA,1548284400,76,18.22,42.5,57.2,5.82
403,Hovd,0,NO,1548285600,72,63.83,10.7,23.0,11.41
404,Olinda,75,EC,1548284400,66,-2.03,-79.75,86.0,3.36
405,Agadir,0,MA,1548284400,87,30.42,-9.58,50.0,3.36
406,Berlevag,80,NO,1548287253,100,70.86,29.09,28.29,13.44
407,Brownwood,1,US,1548285300,25,31.71,-98.99,51.08,8.05
408,Anadyr,0,RU,1548286200,69,64.73,177.51,-7.61,4.47
409,Banjar,12,ID,1548287257,91,-7.37,108.54,72.39,2.37
410,Urubicha,32,BO,1548287258,56,-15.63,-63.08,87.24,3.38
411,Mendi,0,ET,1548287259,74,9.8,35.1,54.75,2.59
412,Baoding,0,CN,1548287260,83,38.86,115.49,12.95,3.38
413,Machida,20,JP,1548286320,41,35.56,139.44,42.8,11.41
414,Petropavlovka,0,RU,1548287262,53,50.61,105.32,-11.76,2.71
415,Faya,0,SA,1548284400,76,18.39,42.45,57.2,5.82
416,Lushnje,75,AL,1548285600,93,40.94,19.7,42.8,5.82
417,Broome,48,GB,1548285600,100,52.47,1.45,28.4,5.82
418,Mayo,90,CA,1548284400,69,63.59,-135.9,-7.61,3.38
419,Chabahar,0,IR,1548287268,100,25.29,60.65,67.62,3.6
420,Altoona,90,US,1548286440,100,40.52,-78.39,46.4,5.82
421,Galesong,75,ID,1548284400,100,-5.32,119.37,77.0,4.7
422,Aswan,0,EG,1548287272,87,24.09,32.9,47.51,2.71
423,Rondonopolis,36,BR,1548287273,76,-16.46,-54.64,82.43,1.7
424,Pangody,64,RU,1548287274,70,65.85,74.49,-5.51,6.17
425,Geraldton,90,CA,1548284400,78,49.72,-86.95,12.2,2.24
426,Ekhabi,80,RU,1548287276,92,53.51,142.97,24.2,9.42
427,Brae,68,GB,1548285600,100,60.4,-1.35,35.6,6.93
428,Kachug,0,RU,1548287282,50,53.96,105.89,-10.64,2.48
429,Mollendo,24,PE,1548287283,72,-17.03,-72.02,68.75,3.6
430,Lubao,40,PH,1548284400,78,14.94,120.6,78.8,6.93
431,Casper,90,US,1548283980,65,42.87,-106.31,28.04,23.04
432,Tazovskiy,64,RU,1548287286,68,67.47,78.7,-4.7,5.39
433,Portland,90,US,1548285000,71,45.52,-122.67,55.94,4.38
434,Henties Bay,0,NA,1548287289,100,-22.12,14.28,61.14,5.17
435,Pasni,0,PK,1548287290,100,25.26,63.48,65.37,6.17
436,Hellvik,90,NO,1548283800,100,59.92,5.78,32.0,23.04
437,Tortoli,75,IT,1548284100,81,39.93,9.66,44.6,13.87
438,Kandiari,0,PK,1548287293,90,26.92,68.52,47.64,5.5
439,Vanimo,92,PG,1548287294,99,-2.67,141.3,83.69,11.65
440,Port Augusta,0,AU,1548284400,14,-32.49,137.76,104.0,10.29
441,Sao Raimundo das Mangabeiras,0,BR,1548287297,93,-7.02,-45.48,72.12,2.71
442,Yuzhno-Kurilsk,68,RU,1548287298,100,44.03,145.86,29.6,19.26
443,Beyneu,0,KZ,1548287299,65,45.32,55.19,0.35,2.93
444,Aykhal,32,RU,1548287300,46,65.95,111.51,-29.76,2.71
445,Izazi,56,TZ,1548287301,96,-7.24,35.72,66.41,2.37
446,Alyangula,80,AU,1548284400,79,-13.85,136.42,84.2,6.93
447,Lesnoy,48,RU,1548287304,71,59.78,52.13,-2.18,6.06
448,Pinsk,68,BY,1548287305,86,52.11,26.1,19.02,9.98
449,San Matias,20,HN,1548284400,53,13.97,-86.63,75.2,5.82
450,Oistins,40,BB,1548284400,78,13.07,-59.53,77.0,19.46
451,Aipe,75,CO,1548284400,48,3.22,-75.24,87.8,9.17
452,Iquique,40,CL,1548284400,64,-20.22,-70.14,71.6,16.11
453,Moose Jaw,75,CA,1548284400,84,50.4,-105.54,5.0,17.22
454,Charleston,90,US,1548285300,53,38.35,-81.63,62.06,11.41
455,Varna,0,BG,1548284400,76,43.22,27.9,50.0,4.7
456,Umba,0,RU,1548287315,91,66.69,34.34,3.72,7.85
457,Derzhavinsk,88,KZ,1548287316,89,51.1,66.31,20.33,9.08
458,Sabha,0,LY,1548287317,48,27.03,14.43,40.22,9.86
459,Brus Laguna,88,HN,1548287318,87,15.75,-84.48,74.87,4.38
460,Santana,75,BR,1548284400,100,-0.06,-51.18,78.8,6.93
461,Sinegorye,76,RU,1548287321,59,62.09,150.53,-8.66,2.15
462,Talavera de la Reina,0,ES,1548287322,71,39.96,-4.83,47.78,10.42
463,Placido de Castro,24,BR,1548287323,86,-10.34,-67.19,80.45,2.71
464,Wajir,0,KE,1548287324,47,1.75,40.07,70.28,6.73
465,Barroso,20,BR,1548286140,78,-23.67,-46.22,77.0,11.41
466,Houma,12,CN,1548287117,75,35.63,111.36,17.9,3.04
467,Micheweni,12,TZ,1548287327,100,-4.97,39.83,80.85,13.78
468,Petropavlovsk-Kamchatskiy,0,RU,1548286200,56,53.05,158.65,15.8,8.95
469,Las Vegas,1,US,1548285300,21,36.17,-115.15,55.94,10.29
470,Champerico,75,MX,1548283740,35,16.38,-93.6,89.6,16.11
471,Half Moon Bay,75,US,1548284160,53,37.46,-122.43,60.8,3.36
472,Prescott,1,US,1548283980,15,34.54,-112.47,53.96,8.05
473,Benguela,44,AO,1548287334,100,-12.58,13.4,75.23,2.93
474,Luwingu,64,ZM,1548287335,96,-10.26,29.92,63.84,6.17
475,Puerto del Rosario,75,ES,1548286200,67,28.5,-13.86,62.6,9.17
476,Vredendal,0,ZA,1548287338,81,-31.68,18.49,54.84,4.38
477,Sao Joao da Barra,0,BR,1548287339,95,-21.64,-41.05,80.4,19.6
478,Goryachevodskiy,90,RU,1548286200,100,44.02,43.09,28.4,11.18
479,Nyandoma,68,RU,1548287341,80,61.67,40.21,6.11,5.17
480,Prince Rupert,90,CA,1548284400,81,54.32,-130.32,44.6,5.82
481,Todos Santos,5,MX,1548283560,27,23.45,-110.23,75.2,13.87
482,Peniche,90,PT,1548284400,93,39.36,-9.38,55.4,17.22
483,Kishtwar,64,IN,1548287346,80,33.31,75.77,15.02,1.81
484,Lima,0,PE,1548284400,78,-12.06,-77.04,75.2,14.99
485,Santo Antonio do Ica,92,BR,1548287348,100,-3.1,-67.94,73.97,5.73
486,Altamira,92,BR,1548287349,94,-3.2,-52.21,76.35,1.92
487,Fairbanks,90,US,1548284280,87,64.84,-147.72,11.3,4.38
488,Broken Hill,0,AU,1548284400,14,-31.97,141.45,98.6,9.17
489,Trat,0,TH,1548287353,100,12.25,102.51,79.1,5.61
490,Stepnogorsk,48,KZ,1548287354,90,52.35,71.88,15.24,11.77
491,Havoysund,40,NO,1548285600,92,71.0,24.66,19.4,8.05
492,Maniitsoq,0,GL,1548287356,100,65.42,-52.9,6.47,5.95
493,Vagur,68,FO,1548287357,100,61.47,-6.81,43.05,16.69
494,Severomuysk,36,RU,1548287359,70,56.17,113.57,-13.2,1.7
495,Kuchinarai,0,TH,1548284400,82,16.54,104.05,62.6,3.36
496,Kysyl-Syr,36,RU,1548287361,69,63.9,122.77,-35.84,2.71
497,Santa Lucia,75,IT,1548284100,81,39.93,9.66,44.6,13.87
498,Polyarnyye Zori,8,RU,1548287364,58,67.37,32.5,-12.48,2.48
499,Neyshabur,0,IR,1548287365,67,36.21,58.79,16.32,2.15
500,Caravelas,8,BR,1548287366,100,-17.73,-39.27,81.71,15.01
501,Darhan,0,MN,1548287367,55,49.49,105.92,-7.04,0.47
502,Donskoye,90,RU,1548286200,92,45.45,41.98,26.6,11.18
503,Bandundu,80,CD,1548287370,95,-3.32,17.38,73.65,3.71
504,Komsomolskiy,64,RU,1548287371,66,67.55,63.78,-9.2,7.18
505,Banepa,75,NP,1548283800,100,27.63,85.52,42.8,6.93
506,Weligama,8,LK,1548287373,100,5.97,80.42,73.97,4.16
507,Trelew,0,AR,1548287374,17,-43.25,-65.31,82.07,13.0
508,Pacific Grove,1,US,1548285300,54,36.62,-121.92,64.94,3.36
509,Ambon,75,FR,1548284400,93,47.55,-2.56,41.0,3.36
510,Dwarka,40,IN,1548286200,100,28.58,77.04,53.6,2.82
511,Santiago,0,CL,1548284400,39,-33.44,-70.65,82.4,8.05
512,Kieta,20,PG,1548287381,96,-6.22,155.63,83.82,2.59
513,Santa Marta,20,CO,1548284400,46,11.24,-74.21,89.6,20.8
514,Zvishavane,20,ZW,1548287383,87,-20.32,30.05,59.52,2.71
515,Hattiesburg,90,US,1548286500,100,31.33,-89.29,55.04,5.61
516,Kaeo,68,NZ,1548287385,59,-35.1,173.78,79.77,12.77
517,Paita,32,PE,1548287387,59,-5.09,-81.11,80.99,9.08
518,Canillo,68,FR,1548287388,80,42.57,1.6,17.22,7.96
519,Moron,44,VE,1548287389,81,10.49,-68.2,71.18,3.6
520,Mana,90,RS,1548286200,91,43.52,20.24,32.0,4.7
521,Mecca,0,SA,1548287391,89,21.43,39.83,61.77,2.71
522,Traralgon,0,AU,1548287393,67,-38.19,146.54,74.51,5.61
523,Royan,0,FR,1548284400,74,45.62,-1.03,39.2,9.17
524,Notse,20,TG,1548287395,69,6.95,1.17,80.09,7.74
525,Saint-Leu,0,RE,1548286200,78,-21.15,55.28,78.8,5.82
526,Puerto Carreno,0,CO,1548284400,49,6.19,-67.49,89.6,3.36
527,Taksimo,24,RU,1548287398,62,56.36,114.84,-9.78,1.92
528,Hambantota,0,LK,1548287400,100,6.12,81.12,75.68,8.19
529,Santa Cruz de Tenerife,88,ES,1548286200,81,28.47,-16.25,62.6,6.93
530,Terrasini,75,IT,1548285600,76,38.15,13.08,50.0,23.04
531,Hokitika,24,NZ,1548287403,91,-42.72,170.96,60.42,6.29
532,Marsa Matruh,0,EG,1548284400,58,31.35,27.25,53.6,16.11
533,Hamilton,75,BM,1548284100,54,32.3,-64.78,59.0,5.82
